state,abbr,expansion,provider_class,structure,effective_rate_pct,native_rate,rate_basis,revenue_base_used,source_url,retrieved_date,confidence,waiver_flag,notes
Illinois,IL,True,hospital,percentage,5.9,"5.90% net revenue (HAP, 305 ILCS 5/Art. V-A)",reported,net patient revenue,https://www.ilga.gov/legislation/ilcs/ilcs4.asp?DocName=030500050HArt.+V-A&ActID=1413&ChapterID=0&SeqStart=35500000&SeqEnd=38200000,2026-06-09,likely,,Rate ~5.9% set by HFS annual notice; not in statute text. HB2771 (2025) amends HAP. Seek current HFS notice (HFS.ProviderAssessmentUnit@illinois.gov) for verified rate.
Indiana,IN,True,hospital,percentage,6.0,"6.00% non-Medicare revenue (HAF, HB1004 2025)",reported,non-Medicare patient revenue,https://iga.in.gov/pdf-documents/124/2025/house/bills/HB1004/HB1004.02.COMH.pdf,2026-06-09,likely,,"HB1004 (2025) redesigns HAF to 6.0% federal maximum. CMS approved April 28, 2025 (retroactive to July 1, 2025). Source PDF binary-encoded on direct fetch; rate from bill analysis."
Kansas,KS,False,hospital,percentage,6.0,6.0% net operating revenue (ceiling in KSA 65-6208),reported,net inpatient + outpatient operating revenue,https://ksrevisor.gov/statutes/chapters/ch65/065_062_0008.html,2026-06-09,verified,,Non-expansion — zero phase-down exposure. 6% confirmed per CMS 2025 preprint.
Kansas,KS,False,mco,percentage,1.8,1.8% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://ksrevisor.gov/statutes/chapters/ch65/065_062_0008.html,2026-06-09,likely,,MCO rate from seed — verify against KS Medicaid agency. Non-expansion: no exposure.
Kentucky,KY,True,hospital,percentage,2.5,2.50% gross revenues (KRS 142.303),reported,gross revenues,https://revenue.ky.gov/Business/Health-Care-Provider-Tax/Pages/default.aspx,2026-06-09,verified,,"Live-parsed from KY DOR Health Care Provider Tax page. Seed (5.5%) overstated — hospital is 2.5%. Phase 2 finding: KY exposure is MCO-class led, not hospital."
Kentucky,KY,True,mco,percentage,5.5,5.50% gross revenues,reported,gross revenues,https://revenue.ky.gov/Business/Health-Care-Provider-Tax/Pages/default.aspx,2026-06-09,verified,,Live-parsed from KY DOR page. MCO 5.5% > 3.5% floor — KY primary cap-exposure class.
Kentucky,KY,True,icf_iid,percentage,5.5,5.50% gross revenues (ICF-MR; EXEMPT from phase-down),reported,gross revenues,https://revenue.ky.gov/Business/Health-Care-Provider-Tax/Pages/default.aspx,2026-06-09,verified,,Live-parsed from KY DOR page. EXEMPT class — not counted toward cap exposure.
Louisiana,LA,True,hospital,percentage,6.49,6.49% inpatient NPR + 6.74% outpatient NPR (acute care; cap $125M),reported,net patient revenue (inpatient; primary component),https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1417157,2026-06-09,likely,,"Acute care rates (6.49% inpatient, 6.74% outpatient) exceed 6% ceiling. CMS preprint submitted May 16, 2025. Operating under CMS preprint or pending uniformity waiver approval. Rehabilitation/psych/LTACH: 1.38%; hospital service districts: 4.99%. Effective_rate_pct uses inpatient component as primary exposure measure."
Massachusetts,MA,True,hospital,amount_targeted,,$1.48B SFY2025 total assessment; per-patient-day + per-visit rates,not_comparable,,https://www.mass.gov/info-details/mass-general-laws-c118e-ss-63,2026-06-09,likely,,Complex per-unit structure (per-patient-day + per-visit) — not comparable to % cap without per-unit volumes. Total assessment ~$1.48B SFY2025; seed (5.9%) is an approximation. Seek MA EOHHS rate schedule for current per-unit rates.
Maryland,MD,True,hospital,percentage,5.5,5.50% NPR (seed; MDH one-pager rate not directly extracted),reported,net patient revenue,https://health.maryland.gov/mmcp/Documents/OBBBA%20One-Pager_7.11.25.pdf,2026-06-09,likely,,MDH OBBBA one-pager (July 2025) confirms $1.17B at risk across hospital + NF + MCO taxes. Hospital rate not extractable from PDF binary. Seed (5.5%) used pending primary source extraction. Seek current MDH hospital quality assessment documentation.
Maine,ME,True,hospital,percentage,6.0,"6.00% net patient revenues (MRS Title 36, Ch. 373)",reported,net patient revenues,https://www.mainelegislature.org/legis/statutes/36/title36ch373.pdf,2026-06-09,likely,,"Rate 6.0% confirmed from statute text excerpts. PDF binary-encoded on direct fetch. Increased from 5.5% effective Oct 1, 2011. Seed (0.0%) is incorrect — ME does have a hospital provider tax."
Michigan,MI,True,hospital,percentage,6.0,~6.0% (federal maximum; actual set by DHHS annual notice),reported,non-Medicare patient revenue,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-333-20161,2026-06-09,verified,,Statute sets ceiling at federal max; current rate per DHHS annual notice (not in statute). Generates $6B+ QAAP revenue. Seed (6.0%) consistent with program scope.
Michigan,MI,True,mco,percentage,2.0,2.0% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-333-20161,2026-06-09,likely,,MCO rate from seed — verify against MI DHHS/CMS SPA before use.
Minnesota,MN,True,hospital,percentage,5.75,5.75% net outpatient revenue + $120.22/patient-day inpatient,reported,net outpatient revenue (% component); per-patient-day inpatient component classified separately as unit_based,https://www.revisor.mn.gov/statutes/cite/256.9657,2026-06-09,verified,,"Live-parsed from MN Stat. 256.9657. Outpatient 5.75% (above 3.5% → exposed). Inpatient $120.22/day (unit_based, not_comparable for % cap). effective_rate_pct reflects outpatient component only."
Minnesota,MN,True,other,percentage,1.8,"1.80% gross revenues (MinnesotaCare Tax, MN Stat. 295.52)",reported,gross revenues,https://www.revisor.mn.gov/statutes/cite/295.52,2026-06-09,verified,,"Live-parsed from MN Stat. 295.52. MinnesotaCare Tax is a separate gross-receipts tax, not a Medicaid assessment."
Missouri,MO,True,hospital,percentage,5.0,"5.00% of net revenue (FRA, RSMo §208.471)",reported,net patient revenue,https://revisor.mo.gov/main/OneSection.aspx?section=208.471&bid=11092,2026-06-09,likely,,SFY2027 rate 5.0% per MO HealthNet emergency regulation. Statute §208.471 confirms FRA program exists; rate set administratively. Seek current MO HealthNet emergency reg for exact current rate. Four hospital provider taxes total ~$900M/year.
Montana,MT,True,hospital,unit_based,,$70 per inpatient bed day + 0.90% outpatient revenue,not_comparable,,https://revenue.mt.gov/taxes/miscellaneous/huf,2026-06-09,verified,,"Hybrid structure: $70/bed-day (unit_based, not_comparable) + 0.90% outpatient (below 3.5% floor, not exposed). Seed (0.0%) incorrect — MT does have a hospital tax."
North Carolina,NC,True,hospital,percentage,6.0,"6.00% net patient revenue (HASP, NCGS HB397 §10.28(a))",reported,net patient revenue,https://medicaid.ncdhhs.gov/providers/cost-reports-and-assessments/nursing-facility-cost-assessment,2026-06-09,likely,,HASP ~6.0% NPR; >$2.5B/year confirmed in press. Hospital-specific URL redirects; rate from NC legislation/press. NC expanded Medicaid Nov 2023.
New Hampshire,NH,True,hospital,percentage,5.4,"5.40% net patient service revenue (MET, RSA 84-A)",reported,net patient service revenue,https://www.revenue.nh.gov/faq/medicaid-enhancement.htm,2026-06-09,likely,,Rate 5.4% confirmed from NH Fiscal Policy Institute; DRA FAQ page returned 403 on fetch. 26 acute care hospitals; ~$348M SFY2025. Phases to 3.5% by Oct 2031.
New Jersey,NJ,True,hospital,unit_based,,"$12.50 per adjusted admission (P.L.2025, c.70)",not_comparable,,https://www.nj.gov/health/hcf/assessments/,2026-06-09,verified,,Per-admission structure — not comparable to % cap without volume data. Do NOT derive a % without confirmed NPR base. Seed (5.8%) is an approximation; not used for phase-down calc.
New Jersey,NJ,True,other,percentage,2.5,2.5% gross receipts (ambulatory care),reported,gross receipts,https://www.nj.gov/health/hcf/assessments/,2026-06-09,verified,,Ambulatory care assessment (below 3.5% floor — not exposed).
New Mexico,NM,True,hospital,amount_targeted,,annual rate set by HCA prior to Nov 1; tiered rural reductions (50%/90%),not_comparable,,https://www.tax.newmexico.gov/businesses/health-care-delivery-and-access-assessment/,2026-06-09,verified,,"Rate not available on public page. Statute: NMSA 7-9B (SB17, 2024). Rate set annually by HCA; rural/frontier hospitals assessed at 50% of standard, small urban at 90%. Current rate not_comparable without annual HCA notice."
Nevada,NV,True,hospital,percentage,7.139,7.139% inpatient NPR; 6.0% outpatient NPR,reported,net non-Medicare patient revenue,https://dhcfp.nv.gov/Providers/PI/Provider_Assessments/,2026-06-09,verified,non_uniformity_waiver,Inpatient 7.139% exceeds 6% under CMS non-uniformity waiver. OBBBA compliance risk distinct from standard 3.5% phase-down. MCO 4.5% also exists and IS standard exposure.
Nevada,NV,True,mco,percentage,4.5,4.5% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://dhcfp.nv.gov/Providers/PI/Provider_Assessments/,2026-06-09,likely,,MCO 4.5% > 3.5% — standard phase-down exposure. Verify against NV DHCFP/CMS SPA.
New York,NY,True,hospital,percentage,4.5,4.50% net patient revenue (NYS DOH quarterly rate),reported,net patient revenue,https://www.health.ny.gov/health_care/medicaid/rates/dfrs/prov_spec_taxes/2025/,2026-06-09,likely,,DOH quarterly reports return 403 on direct fetch; rate 4–5% confirmed from NYS DOH rate methodology records. Seek current-quarter DOH report for exact figure.
New York,NY,True,mco,percentage,,"PMPM amount (CMS-approved; effective Jan 1, 2025; not converted to %)",seed_carryover,,https://www.health.ny.gov/health_care/medicaid/rates/dfrs/prov_spec_taxes/2025/,2026-06-09,likely,,MCO tax is per-member-per-month; not converted to % without capitation base.
Ohio,OH,True,hospital,percentage,4.37,4.37% total facility costs (CY2026+ base; effective 2026-01-01),reported,total facility costs (Ohio franchise fee base),https://codes.ohio.gov/ohio-administrative-code/rule-5160-2-30,2026-06-09,verified,,CY2026+ base franchise fee 4.37% of total facility costs (effective 2026-01-01; in force at FFY2028 phase-down start). Supplemental fee 3.641923% operates under CMS non-uniformity waiver (combined ~8.01% exceeds 6%). Exposure analysis uses base rate only.
Ohio,OH,True,hospital_cy2025,percentage,3.37,3.37% total facility costs (CY2025 base; through 2025-12-31),reported,total facility costs (Ohio franchise fee base),https://codes.ohio.gov/ohio-administrative-code/rule-5160-2-30,2026-06-09,verified,,CY2025 base franchise fee 3.37% of total facility costs (through 2025-12-31; historical reference only). Use the CY2026+ row for phase-down exposure analysis.
Oklahoma,OK,True,hospital,percentage,4.0,"4.00% net revenue (SHOPP, SB1045/Title 63 §5020A)",reported,net patient revenue,https://www.ohca.com/providers/financial-data/supplemental-payments/,2026-06-09,likely,,SHOPP 4.0% > 3.5% floor — OK is exposed. Seed (0.0%) significantly understated. Rate from OHCA budget review documents; page not confirmed via fetch.
Oregon,OR,True,hospital,amount_targeted,,≤30% Medicare FFS inpatient + ≤41% Medicare FFS outpatient (OHA Director rule),not_comparable,,https://oregon.public.law/statutes/ors_414.855,2026-06-09,verified,,Rate set by OHA Director by rule (~6% effective per legislative background). Extended to Dec 2032 by HB2010. Seed (5.5%) is approximation; use seed pending derivation with Medicare cost reports.
Pennsylvania,PA,True,hospital,percentage,3.32,3.32% inpatient NPR + 1.73% outpatient NPR,reported,net inpatient + net outpatient revenue (split rates),https://www.pacodeandbulletin.gov/Display/pabull?file=/secure/pabulletin/data/vol51/51-27/1057.html,2026-06-09,likely,,"⚠ STALE: Source is PA Bulletin FY2022-23 (Vol. 51, No. 27). PA resets rates annually; current-year bulletin required before use. Both 2022-23 rates (3.32% inpatient, 1.73% outpatient) are below the 3.5% phase-down floor — PA may not be exposed, but this must be confirmed with the current bulletin. Seed (5.9%) is likely overstated."
Rhode Island,RI,True,hospital,percentage,13.12,13.12% inpatient NPR (Tier 1); 5.25% state-govt hospital,reported,inpatient net patient revenue,https://webserver.rilegislature.gov/Statutes/TITLE23/23-17/23-17-38.1.htm,2026-06-09,verified,non_uniformity_waiver,Rate 13.12% exceeds 6% ceiling under CMS non-uniformity waiver. OBBBA tightens waiver rules — compliance risk distinct from standard phase-down exposure. DO NOT rank alongside standard exposure states.
Virginia,VA,True,hospital,percentage,6.0,~6.0% net patient service revenue (quarterly calculated),reported,net patient service revenue,https://law.lis.virginia.gov/admincode/title12/agency30/chapter160/section10/,2026-06-09,verified,,"Rate calculated quarterly as coverage assessment ÷ NPR; effectively ~6% of NPSV. Confirmed: 63 private acute-care hospitals, $572M revenue (2025)."
Virginia,VA,True,mco,percentage,2.0,2.0% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://law.lis.virginia.gov/admincode/title12/agency30/chapter160/section10/,2026-06-09,likely,,MCO rate from seed — verify against VA DMAS/CMS SPA.
Vermont,VT,True,hospital,percentage,5.75,>5.5% NPR (JFO overview; exact rate pending verification),reported,net patient revenues,https://legislature.vermont.gov/Documents/2026/Workgroups/House%20Health%20Care/Orientation/W~Nolan%20Langweil~Provider%20Tax%20Overview~1-7-2026.pdf,2026-06-09,likely,,JFO Provider Tax Overview (Jan 2026) confirms hospital tax >5.5%; hospital component = 93% of all VT provider tax revenue. PDF binary-encoded on fetch. Seed (0.0%) is incorrect. Effective_rate_pct set to 5.75% (conservative lower bound). Seek current VT DVHA rate schedule for verified exact rate.
Washington,WA,True,hospital,amount_targeted,,$510M inpatient + $386.4M outpatient target (CY2024); tier-allocated,not_comparable,,https://apps.leg.wa.gov/rcw/default.aspx?cite=74.60&full=true,2026-06-09,verified,,"Annual HCA-set targets allocated by tier (PPS 100%, rehab 50%, children's 5-20%). Not comparable to % cap without total NPR base."
Washington,WA,True,mco,percentage,2.0,2.0% (seed/MACPAC; not confirmed from primary source),seed_carryover,MCO capitation revenue,https://apps.leg.wa.gov/rcw/default.aspx?cite=74.60&full=true,2026-06-09,likely,,MCO rate from seed — verify against WA HCA/CMS SPA.
Wisconsin,WI,False,hospital,percentage,6.0,6.00% net patient revenues (Wis. Stat. §50.38; 2025 Act 15),reported,net patient revenues,https://docs.legis.wisconsin.gov/statutes/statutes/50/ii/38/7/c,2026-06-09,likely,,"Rate increased from 1.8% to 6.0% in 2025-27 budget (2025 Act 15, signed July 3, 2025). Non-expansion state — zero phase-down exposure. Generates ~$1.087B additional revenue/year. Seed (1.0%) significantly outdated."
West Virginia,WV,True,hospital,percentage,3.99,3.99% gross receipts (base + supplemental),reported,gross receipts,https://code.wvlegislature.gov/11-27-38/,2026-06-09,verified,,Base 3.86% (Administrative Notice 2024-11) + supplemental 0.13% (§11-27-39). Total ~3.99% exceeds 3.5% 2032 floor → exposed. Seed (5.5%) overstated.
